# Time	field	min	position(min)	max	position(max)
1155	Ua	0	(0 0.0093083 0)	0.450953	(0.0749621 0.013582 -1.33482e-20)
1156	Ua	0	(0 0.0093083 0)	0.450955	(0.0749621 0.013582 -1.33482e-20)
1157	Ua	0	(0 0.0093083 0)	0.450957	(0.0749621 0.013582 -1.33482e-20)
1158	Ua	0	(0 0.0093083 0)	0.450958	(0.0749621 0.013582 -1.33482e-20)
1159	Ua	0	(0 0.0093083 0)	0.450959	(0.0749621 0.013582 -1.33482e-20)
1160	Ua	0	(0 0.0093083 0)	0.450961	(0.0749621 0.013582 -1.33482e-20)
1161	Ua	0	(0 0.0093083 0)	0.450962	(0.0749621 0.013582 -1.33482e-20)
1162	Ua	0	(0 0.0093083 0)	0.450963	(0.0749621 0.013582 -1.33482e-20)
1163	Ua	0	(0 0.0093083 0)	0.450964	(0.0749621 0.013582 -1.33482e-20)
1164	Ua	0	(0 0.0093083 0)	0.450966	(0.0749621 0.013582 -1.33482e-20)
1165	Ua	0	(0 0.0093083 0)	0.450967	(0.0749621 0.013582 -1.33482e-20)
1166	Ua	0	(0 0.0093083 0)	0.450968	(0.0749621 0.013582 -1.33482e-20)
1167	Ua	0	(0 0.0093083 0)	0.450969	(0.0749621 0.013582 -1.33482e-20)
1168	Ua	0	(0 0.0093083 0)	0.45097	(0.0749621 0.013582 -1.33482e-20)
1169	Ua	0	(0 0.0093083 0)	0.450971	(0.0749621 0.013582 -1.33482e-20)
1170	Ua	0	(0 0.0093083 0)	0.450971	(0.0749621 0.013582 -1.33482e-20)
1171	Ua	0	(0 0.0093083 0)	0.450972	(0.0749621 0.013582 -1.33482e-20)
1172	Ua	0	(0 0.0093083 0)	0.450973	(0.0749621 0.013582 -1.33482e-20)
1173	Ua	0	(0 0.0093083 0)	0.450974	(0.0749621 0.013582 -1.33482e-20)
1174	Ua	0	(0 0.0093083 0)	0.450974	(0.0749621 0.013582 -1.33482e-20)
1175	Ua	0	(0 0.0093083 0)	0.450975	(0.0749621 0.013582 -1.33482e-20)
1176	Ua	0	(0 0.0093083 0)	0.450976	(0.0749621 0.013582 -1.33482e-20)
1177	Ua	0	(0 0.0093083 0)	0.450976	(0.0749621 0.013582 -1.33482e-20)
1178	Ua	0	(0 0.0093083 0)	0.450977	(0.0749621 0.013582 -1.33482e-20)
1179	Ua	0	(0 0.0093083 0)	0.450978	(0.0749621 0.013582 -1.33482e-20)
