# Time	field	min	position(min)	max	position(max)
1173	Ua	0	(0.0101886 0.0130353 0)	58.9978	(0.0498085 0.0148949 -2.71874e-20)
1174	Ua	0	(0.0101886 0.0130353 0)	59.0123	(0.0498085 0.0148949 -2.71874e-20)
1175	Ua	0	(0.0101886 0.0130353 0)	59.0266	(0.0498085 0.0148949 -2.71874e-20)
1176	Ua	0	(0.0101886 0.0130353 0)	59.0408	(0.0498085 0.0148949 -2.71874e-20)
1177	Ua	0	(0.0101886 0.0130353 0)	59.0548	(0.0498085 0.0148949 -2.71874e-20)
1178	Ua	0	(0.0101886 0.0130353 0)	59.0687	(0.0498085 0.0148949 -2.71874e-20)
1179	Ua	0	(0.0101886 0.0130353 0)	59.0824	(0.0498085 0.0148949 -2.71874e-20)
1180	Ua	0	(0.0101886 0.0130353 0)	59.0959	(0.0498085 0.0148949 -2.71874e-20)
1181	Ua	0	(0.0101886 0.0130353 0)	59.1092	(0.0498085 0.0148949 -2.71874e-20)
1182	Ua	0	(0.0101886 0.0130353 0)	59.1223	(0.0498085 0.0148949 -2.71874e-20)
1183	Ua	0	(0.0101886 0.0130353 0)	59.1353	(0.0498085 0.0148949 -2.71874e-20)
1184	Ua	0	(0.0101886 0.0130353 0)	59.1481	(0.0498085 0.0148949 -2.71874e-20)
1185	Ua	0	(0.0101886 0.0130353 0)	59.1608	(0.0498085 0.0148949 -2.71874e-20)
1186	Ua	0	(0.0101886 0.0130353 0)	59.1733	(0.0498085 0.0148949 -2.71874e-20)
1187	Ua	0	(0.0101886 0.0130353 0)	59.1856	(0.0498085 0.0148949 -2.71874e-20)
1188	Ua	0	(0.0101886 0.0130353 0)	59.1977	(0.0498085 0.0148949 -2.71874e-20)
1189	Ua	0	(0.0101886 0.0130353 0)	59.2097	(0.0498085 0.0148949 -2.71874e-20)
1190	Ua	0	(0.0101886 0.0130353 0)	59.2216	(0.0498085 0.0148949 -2.71874e-20)
1191	Ua	0	(0.0101886 0.0130353 0)	59.2333	(0.0498085 0.0148949 -2.71874e-20)
1192	Ua	0	(0.0101886 0.0130353 0)	59.2448	(0.0498085 0.0148949 -2.71874e-20)
