# Time	field	min	position(min)	max	position(max)
1159	Ua	0	(0 0.0093083 0)	0.554672	(0.273405 0.015628 0)
1160	Ua	0	(0 0.0093083 0)	0.5554	(0.273405 0.015628 0)
1161	Ua	0	(0 0.0093083 0)	0.556112	(0.272135 0.0154908 1.14631e-20)
1162	Ua	0	(0 0.0093083 0)	0.556925	(0.272135 0.0154908 1.14631e-20)
1163	Ua	0	(0 0.0093083 0)	0.557711	(0.272135 0.0154908 1.14631e-20)
1164	Ua	0	(0 0.0093083 0)	0.558472	(0.272135 0.0154908 1.14631e-20)
1165	Ua	0	(0 0.0093083 0)	0.559209	(0.272135 0.0154908 1.14631e-20)
1166	Ua	0	(0 0.0093083 0)	0.559922	(0.272135 0.0154908 1.14631e-20)
1167	Ua	0	(0 0.0093083 0)	0.560612	(0.272135 0.0154908 1.14631e-20)
1168	Ua	0	(0 0.0093083 0)	0.561326	(0.270868 0.0153578 1.07877e-20)
1169	Ua	0	(0 0.0093083 0)	0.562097	(0.270868 0.0153578 1.07877e-20)
1170	Ua	0	(0 0.0093083 0)	0.562842	(0.270868 0.0153578 1.07877e-20)
1171	Ua	0	(0 0.0093083 0)	0.563564	(0.270868 0.0153578 1.07877e-20)
1172	Ua	0	(0 0.0093083 0)	0.564263	(0.270868 0.0153578 1.07877e-20)
1173	Ua	0	(0 0.0093083 0)	0.56494	(0.270868 0.0153578 1.07877e-20)
1174	Ua	0	(0 0.0093083 0)	0.565595	(0.270868 0.0153578 1.07877e-20)
1175	Ua	0	(0 0.0093083 0)	0.566329	(0.269602 0.0152293 0)
1176	Ua	0	(0 0.0093083 0)	0.56706	(0.269602 0.0152293 0)
1177	Ua	0	(0 0.0093083 0)	0.567768	(0.269602 0.0152293 0)
1178	Ua	0	(0 0.0093083 0)	0.568454	(0.269602 0.0152293 0)
1179	Ua	0	(0 0.0093083 0)	0.569118	(0.269602 0.0152293 0)
1180	Ua	0	(0 0.0093083 0)	0.569761	(0.269602 0.0152293 0)
1181	Ua	0	(0 0.0093083 0)	0.570431	(0.26834 0.0151057 -1.16885e-20)
1182	Ua	0	(0 0.0093083 0)	0.571148	(0.26834 0.0151057 -1.16885e-20)
1183	Ua	0	(0 0.0093083 0)	0.571843	(0.26834 0.0151057 -1.16885e-20)
1184	Ua	0	(0 0.0093083 0)	0.572516	(0.26834 0.0151057 -1.16885e-20)
1185	Ua	0	(0 0.0093083 0)	0.573168	(0.26834 0.0151057 -1.16885e-20)
1186	Ua	0	(0 0.0093083 0)	0.5738	(0.26834 0.0151057 -1.16885e-20)
1187	Ua	0	(0 0.0093083 0)	0.57442	(0.26708 0.0149874 3.37831e-20)
1188	Ua	0	(0 0.0093083 0)	0.575124	(0.26708 0.0149874 3.37831e-20)
1189	Ua	0	(0 0.0093083 0)	0.575806	(0.26708 0.0149874 3.37831e-20)
1190	Ua	0	(0 0.0093083 0)	0.576468	(0.26708 0.0149874 3.37831e-20)
1191	Ua	0	(0 0.0093083 0)	0.577108	(0.26708 0.0149874 3.37831e-20)
1192	Ua	0	(0 0.0093083 0)	0.577729	(0.26708 0.0149874 3.37831e-20)
1193	Ua	0	(0 0.0093083 0)	0.578331	(0.26708 0.0149874 3.37831e-20)
1194	Ua	0	(0 0.0093083 0)	0.579004	(0.265822 0.0148748 -2.2917e-20)
1195	Ua	0	(0 0.0093083 0)	0.579674	(0.265822 0.0148748 -2.2917e-20)
1196	Ua	0	(0 0.0093083 0)	0.580323	(0.265822 0.0148748 -2.2917e-20)
1197	Ua	0	(0 0.0093083 0)	0.580953	(0.265822 0.0148748 -2.2917e-20)
1198	Ua	0	(0 0.0093083 0)	0.581563	(0.265822 0.0148748 -2.2917e-20)
1199	Ua	0	(0 0.0093083 0)	0.582155	(0.265822 0.0148748 -2.2917e-20)
1200	Ua	0	(0 0.0093083 0)	0.582797	(0.264567 0.0147683 -3.42123e-20)
1201	Ua	0	(0 0.0093083 0)	0.583455	(0.264567 0.0147683 -3.42123e-20)
1202	Ua	0	(0 0.0093083 0)	0.584094	(0.264567 0.0147683 -3.42123e-20)
1203	Ua	0	(0 0.0093083 0)	0.584713	(0.264567 0.0147683 -3.42123e-20)
1204	Ua	0	(0 0.0093083 0)	0.585313	(0.264567 0.0147683 -3.42123e-20)
1205	Ua	0	(0 0.0093083 0)	0.585895	(0.264567 0.0147683 -3.42123e-20)
1206	Ua	0	(0 0.0093083 0)	0.586514	(0.263314 0.0146683 -2.31974e-20)
